ID,FirstName,LastName,Email,Phone,Department,Position,Salary,StartDate,City,State,Country,EmployeeType,PerformanceScore,YearsExperience,Skills
EMP000001,Michael,Johnson,user1@company.com,+1-232-704-5596,Marketing,Analyst,120564.28,2023-07-09,Houston,NY,Germany,Intern,4.01,1,"JavaScript, SQL, Excel"
EMP000002,John,Brown,user2@company.com,+1-578-407-9133,Marketing,Coordinator,41589.5,2024-07-21,Houston,IL,Canada,Intern,3.48,12,"SQL, Excel"
EMP000003,Michael,Smith,user3@company.com,+1-821-347-7053,Engineering,Coordinator,55693.39,2020-03-04,New York,NY,Canada,Intern,4.67,3,"Communication, SQL, Excel"
EMP000004,Michael,Garcia,user4@company.com,+1-319-253-3883,Engineering,Developer,103891.38,2017-05-09,Phoenix,AZ,Canada,Part-time,2.72,30,SQL
EMP000005,John,Williams,user5@company.com,+1-817-538-4410,HR,Developer,52338.68,2019-11-19,Chicago,CA,Canada,Intern,4.04,10,SQL
EMP000006,Sarah,Jones,user6@company.com,+1-217-551-2638,IT,Analyst,134321.66,2021-10-16,Los Angeles,PA,UK,Full-time,3.58,22,"Communication, Python, SQL"
EMP000007,Lisa,Jones,user7@company.com,+1-456-915-6440,Marketing,Manager,101044.11,2020-04-04,Phoenix,AZ,Canada,Full-time,4.81,22,"Python, Excel, SQL"
EMP000008,Emily,Williams,user8@company.com,+1-510-483-5596,Engineering,Developer,95861.33,2017-12-17,Phoenix,CA,UK,Full-time,4.82,28,"SQL, JavaScript"
EMP000009,John,Williams,user9@company.com,+1-302-353-9116,Engineering,Specialist,95922.77,2021-12-22,Phoenix,IL,UK,Full-time,3.08,19,"JavaScript, SQL, Excel"
EMP000010,David,Johnson,user10@company.com,+1-378-742-8567,Marketing,Analyst,70255.18,2021-10-13,Chicago,IL,USA,Full-time,3.55,29,JavaScript
EMP000011,Sarah,Miller,user11@company.com,+1-507-373-7602,Finance,Analyst,78476.39,2024-11-30,Phoenix,NY,Germany,Part-time,4.87,0,"Excel, Communication, JavaScript"
EMP000012,Lisa,Jones,user12@company.com,+1-649-526-3188,Engineering,Specialist,116806.22,2025-02-11,New York,PA,Germany,Contract,4.16,12,Communication
EMP000013,John,Garcia,user13@company.com,+1-735-461-5063,Marketing,Developer,108130.16,2016-10-12,Chicago,TX,USA,Full-time,4.63,6,Python
EMP000014,Robert,Brown,user14@company.com,+1-939-696-7375,HR,Specialist,102239.87,2020-07-04,New York,IL,Germany,Full-time,3.27,22,Communication
EMP000015,Lisa,Miller,user15@company.com,+1-625-313-4016,Finance,Coordinator,114640.24,2024-11-04,Los Angeles,CA,Germany,Part-time,2.92,1,"JavaScript, SQL"
EMP000016,Sarah,Williams,user16@company.com,+1-683-198-1340,Finance,Manager,45912.71,2021-07-09,Chicago,PA,USA,Intern,2.8,6,Excel
